PHRASE,TRADITIONAL,PRIORITY,PINYIN,DEFINITION
"〡",3621,0,yi1,"1 dans la numération Suzhou"
"〢",3622,0,er4,"2 dans la numération Suzhou"
"〣",3623,0,san1,"3 dans la numération Suzhou"
"〤",3624,0,si4,"4 dans la numération Suzhou"
"〥",3625,0,wu3,"5 dans la numération Suzhou"
"〦",3626,0,liu4,"6 dans la numération Suzhou"
"〧",3627,0,qi1,"7 dans la numération Suzhou"
"〨",3628,0,ba1,"8 dans la numération Suzhou"
"〩",3629,0,jiu3,"9 dans la numération Suzhou"
"ㄅ",3630,0,bo1,"Première lettre de l'alphabet bopomofo"
"㑇",3631,0,zhou4,"(arch.) beau; malin"
"㓖",3632,0,bie2,"froid mordant; vent du nord"
"㛂",3633,0,nuo3,"gracieuse; frêle et petite"
"㞗",3634,0,qiu2,"(dialecte) pénis; bite"
"㞞",3635,0,song2,"(famil.) sperme; faible et incompétent"
"㥏",3636,0,tian3,honteux
"㵮",3637,0,chun2,"eau claire"
"㹴",3638,0,geng3,"chien féroce"
"㺵",3639,0,jiu2,"jade noir"
"䅵",3640,0,zhuo2,"balle; son de blé"
"䍃",3641,0,yao2,"(arch.) vase; pichet"
"䓛",3642,0,gu3,"chrysène"
"䕭",3643,0,qian2,"(variété d'herbe); ortie"
"䕭",3643,1,xian2,"(sorte de légume)"
"䗪",3644,0,zhe4,"coccinelle chinoise (eupolyphaga sinensis)"
"䥑",3645,0,mai4,"Meitnérium"
"䫏",3646,0,qi1,"masque d'un dieu utilisé durant les cérémonies pour exorciser les démons et écarter la peste; (arch.) moche"
"一",0,0,yi1,"1 (nombre); un"
"一一",8473,0,"yi1 yi1","yi yi"
"一七線",46145,0,"yi1 qi1 xian4","17ème parallèle nord"
"一下",8474,0,"yi1 xia4","une fois; tout d'un coup; subitement"
"一下子",44493,0,"yi1 xia4 zi5",net
"一世",9179,0,"yi1 shi4","une génération"
"一丘之貉",62378,0,"yi1 qiu1 zhi1 he2","être des chacals de la même tanière; de la même farine; du même tabac; de la même espèce; du même acabit"
"一串",17929,0,"yi1 chuan4",brochette
"一串紅",49222,0,"yi1 chuan4 hong2","Salvia splendens"
"一九八四",56905,0,"yi1 jiu3 ba1 si4","1984 (roman)"
"一乾二淨",59754,0,"yi1 gan1 er4 jing4","(expr. idiom.) complètement; tout à fait; parfaitement; purement et simplement"
"一了百了",55796,0,"yi1 liao3 bai3 liao3","une fois que le problème principal est réglé, tous les problèmes sont réglés; la mort met fin à tous les problèmes"
"一事無成",55629,0,"yi1 shi4 wu2 cheng2","ne réussir à rien; n'aboutir à rien; sans arriver à rien"
"一二",9180,0,"yi1 er4","un ou deux; un peu"
"一五一十",55797,0,"yi1 wu3 yi1 shi2","raconter en détail ou tout au long"
"一些",9181,0,"yi1 xie1","un certain nombre de; quelques; un peu (de)"
"一介不取",56224,0,"yi1 jie4 bu4 qu3","ne pas prendre même un centime (comme pot de vin)"
"一代",9182,0,"yi1 dai4","génération"
"一件",9183,0,"yi1 jian4","un courrier; un document"
"一件事",45127,0,"yi1 jian4 shi4","une chose"
"一份",9184,0,"yi1 fen4","une part; une portion"
"一休",17930,0,"yi1 xiu1","Ikkyu Sojun"
"一位",9185,0,"yi1 wei4","(spécificatif pour montrer le respect)"
"一併",24386,0,"yi1 bing4","entièrement; ensemble"
"一來",8475,0,"yi1 lai2","d'une part, ..."
"一來二去",55630,0,"yi1 lai2 er4 qu4","progressivement; petit à petit; au fils du temps"
"一個勁兒",56906,0,"yi1 ge4 jin4 r",constamment
"一個星期",55798,0,"yi1 ge5 xing1 qi1","(pendant) une semaine"
"一個月",44631,0,"yi1 ge4 yue4","un mois"
"一個樣",44632,0,"yi1 ge5 yang4","le même"
"一個蘿蔔一個坑",63810,0,"yi1 ge4 luo2 bo5 yi1 ge4 keng1","(expr. idiom.) Chacun et chaque chose à sa place"
"一億",17931,0,"yi1 yi4","cent millions"
"一元",9186,0,"yi1 yuan2","variable unique (math.); univariée"
"一元論",45128,0,"yi1 yuan2 lun4",Monisme
"一共",9187,0,"yi1 gong4","en tout"
"一再",9188,0,"yi1 zai4","à plusieurs reprises; plus d'une fois"
"一刀兩斷",57846,0,"yi1 dao1 liang3 duan4","rupture nette; rompre d'un seul coup; résolution ferme de rompre une relation"
"一刀切",47591,0,"yi1 dao1 qie1","(expr. idiom.) couper tout d'un seul coup; imposer l'uniformité; une solution pour plusieurs problèmes"
"一分",9189,0,"yi1 fen1",Ippon
"一分一毫",56907,0,"yi1 fen1 yi1 hao2","(expr. idiom.) un tout petit peu; un iota"
"一分為二",55799,0,"yi1 fen1 wei2 er4","en deux; à deux faces"
"一分錢",45129,0,"yi1 fen1 qian2","un centime"
"一切",12174,0,"yi1 qie4",tout
"一切向錢看",62820,0,"yi1 qie4 xiang4 qian2 kan4","placer l'argent au-dessus de tout le reste"
"一切如舊",56908,0,"yi1 qie4 ru2 jiu4","tout comme avant"
"一切就緒",57847,0,"yi1 qie4 jiu4 xu4","prêt"
"一則",9190,0,"yi1 ze2","d'un côté; d'une part"
"一則以喜，一則以憂",63954,0,"yi1 ze2 yi3 xi3 , yi1 ze2 yi3 you1","(expr. idiom.) heureux d'une part, mais inquiet de l'autre"
"一動不動",55800,0,"yi1 dong4 bu4 dong4",immobile
"一千",12175,0,"yi1 qian1","mille; un millier"
"一半",12176,0,"yi1 ban4","un demi"
"一去不復返",62971,0,"yi1 qu4 bu4 fu4 fan3","disparu à jamais"
"一反常態",56909,0,"yi1 fan3 chang2 tai4","anormalement; assez inhabituel; totalement en dehors de la norme"
"一口",9191,0,"yi1 kou3","bouchée"
"一口咬定",56910,0,"yi1 kou3 yao3 ding4","affirmer de façon arbitraire; alléguer; s'en tenir à sa déclaration; s'accrocher à son point de vue"
"一口氣",45130,0,"yi1 kou3 qi4","d'un (seul) coup; d'une traite; d'un trait; un souffle (de vie)"
"一句",12177,0,"yi1 ju4","un vers; une phrase"
"一句話",46146,0,"yi1 ju4 hua4","en un mot; pour faire court"
"一同",8476,0,"yi1 tong2","ensemble; en compagnie de; avec"
"一名",9192,0,"yi1 ming2","une personne"
"一向",9193,0,"yi1 xiang4","de tout temps"
"一吹",17932,0,"yi1 chui1",souffle
"一周",12178,0,"yi1 zhou1","semaine; huitaine"
"一味",12179,0,"yi1 wei4","simplement; toujours; continuellement"
"一命嗚呼",57848,0,"yi1 ming4 wu1 hu1","(expr. idiom.) expirer son dernier souffle; mourir"
"一品",9194,0,"yi1 pin3","superbe; de premier ordre; le plus haut rang (des fonctionnaires de l'époque impériale)"
"一哄而散",59755,0,"yi1 hong1 er2 san4","(expr. idiom.) se disperser dans la confusion"
"一哄而起",57849,0,"yi1 hong1 er2 qi3","se jeter tête baissée dans la confusion"
"一唱一和",55801,0,"yi1 chang4 yi1 he4","(expr. idiom.) faire écho à l'autre"
"一問三不知",62746,0,"yi1 wen4 san1 bu4 zhi1","ne pas être au courant"
"一回事",45131,0,"yi1 hui2 shi4","une chose; le même que"
"一國兩制",55802,0,"yi1 guo2 liang3 zhi4","Un pays, deux systèmes"
"一團",12180,0,"yi1 tuan2","agglomération"
"一團火",47592,0,"yi1 tuan2 huo3","boule de feu"
"一團糟",49223,0,"yi1 tuan2 zao1","chaos; désordre complet; pagaille"
"一堆",12181,0,"yi1 dui1","pile; ramassis; agglomération"
"一場空",45132,0,"yi1 chang3 kong1","vain; effort inutile; espoirs déçus"
"一塊",12182,0,"yi1 kuai4",morceau
"一塊兒",46147,0,"yi1 kuai4 r","ensemble; au même endroit"
"一塌糊塗",61664,0,"yi1 ta1 hu2 tu5","(expr. idiom.) pagaille; désordre; dans un état affreux"
"一塵不染",58801,0,"yi1 chen2 bu4 ran3","(expr. idiom.) désintéressé et incorruptible; impeccable"
"一壁",17933,0,"yi1 bi4","d'un côté; en même temps"
"一夔已足",62234,0,"yi1 kui2 yi3 zu2","(expr. idiom.) une personne de talent est suffisante; un seul suffit"
"一夕數驚",59756,0,"yi1 xi1 shu4 jing1","(expr. idiom.) une alerte après l'autre; dans un état constant de tension"
"一夜爆紅",59757,0,"yi1 ye4 bao4 hong2","devenir populaire du jour au lendemain"
"一大早",45133,0,"yi1 da4 zao3","à l'aube; aux premières lueurs du jour"
"一天",8477,0,"yi1 tian1","un jour"
"一天到晚",55803,0,"yi1 tian1 dao4 wan3","toute la journée; du matin au soir"
"一天又一天",62747,0,"yi1 tian1 you4 yi1 tian1","jour après jour"
"一夫一妻製",63066,0,"yi1 fu1 yi1 qi1 zhi4",monogamie
"一夫多妻",57850,0,"yi1 fu1 duo1 qi1",polygamie
"一套",12183,0,"yi1 tao4","batterie (cuisine, etc.); suite; ensemble (n.m)"
"一如",8478,0,"yi1 ru2",comme
"一如既往",56911,0,"yi1 ru2 ji4 wang3","(expr. idiom.) tout comme dans le passé; éternel; comme avant; comme toujours"
"一妻制",47593,0,"yi1 qi1 zhi4",monogamie
"一孔之見",56912,0,"yi1 kong3 zhi1 jian4","vue partielle; perspectives limitées"
"一字",9195,0,"yi1 zi4","dans une rangée; en ligne; aligné"
"一字不差",55804,0,"yi1 zi4 bu4 cha1","mot pour mot; textuellement"
"一字不漏",56913,0,"yi1 zi4 bu4 lou4","sans manquer un mot"
"一字不識",55805,0,"yi1 zi4 bu4 shi2","(expr. idiom.) être incapable de distinguer le bon du mauvais; illettré; analphabète"
"一字千金",56914,0,"yi1 zi4 qian1 jin1","(expr. idiom.) littéralement : un caractère mille unités d'or (utilisée pour juger de la valeur d'une oeuvre littéraire ou d'une opinion); parler d'or; donner des conseils précieux"
"一定",8479,0,"yi1 ding4","certainement; sûrement; certain; déterminé; fixe"
"一定要",44494,0,"yi1 ding4 yao4","il faut"
"一家",8480,0,"yi1 jia1","toute la famille; la même famille"
"一家子",44495,0,"yi1 jia1 zi5","toute la famille"
"一審",17934,0,"yi1 shen3","première instance (en droit)"
"一對",8481,0,"yi1 dui4","couple; paire; duo"
"一小時",44496,0,"yi1 xiao3 shi2","une heure"
"一局",12184,0,"yi1 ju2",partie
"一層",17935,0,"yi1 ceng2","couche (strate)"
"一巴掌",49224,0,"yi1 ba1 zhang3",claque
"一帆風順",59758,0,"yi1 fan1 feng1 shun4","(expr. idiom.) avoir le vent favorable; aller comme sur des roulettes; avoir le vent en poupe; Bon voyage!"
"一席之地",56225,0,"yi1 xi2 zhi1 di4","un lieu pour soi-même; niche"
"一席話",47594,0,"yi1 xi2 hua4","teneur de la conversation; mots; remarques"
"一帶",9196,0,"yi1 dai4","région; district; zone"
"一干",17936,0,"yi1 gan1","complètement; tout à fait; parfaitement; purement et simplement"
"一年到頭",55631,0,"yi1 nian2 dao4 tou2","toute l'année"
"一年半",45134,0,"yi1 nian2 ban4","un an et demi"
"一年半載",56915,0,"yi1 nian2 ban4 zai3","un an ou deux; environ une année"
"一年四季",56916,0,"yi1 nian2 si4 ji4","les quatre saisons de l'année"
"一年多",44497,0,"yi1 nian2 duo1","plus d'un an"
"一年期",44633,0,"yi1 nian2 qi1","période d'un an (dans un contrat ou le budget)"
"一年被蛇咬十年怕井繩",63974,0,"yi1 nian2 bei4 she2 yao3 shi2 nian2 pa4 jing3 sheng2","(expr. idiom.) celui qui a été mordu par un serpent une année a peur de la corde du puits pendant dix ans; chat échaudé craint l'eau froide"
"一度",9197,0,"yi1 du4","une fois; en un moment"
"一廂情願",59759,0,"yi1 xiang1 qing2 yuan4","ses propres illusions"
"一張",9198,0,"yi1 zhang1",feuille
"一張紙",46148,0,"yi1 zhang1 zhi3","une feuille de papier"
"一彈指頃",59760,0,"yi1 tan2 zhi3 qing3","(expr. idiom.) un claquement de doigts; en un flash; en un clin d'oeil"
"一往情深",57851,0,"yi1 wang3 qing2 shen1","profondément attaché; consacré"
"一往無前",55806,0,"yi1 wang3 wu2 qian2","avancer courageusement; aller de l'avant"
"一律",12185,0,"yi1 lu:4","égal; uniforme; sans exception"
"一心",8482,0,"yi1 xin1","de tout coeur; corps et âme; être du même avis; être d'accord"
"一心一德",55807,0,"yi1 xin1 yi1 de2","(expr. idiom.) d'un seul coeur et une seule âme"
"一心一意",55580,0,"yi1 xin1 yi1 yi4",attentivement
"一念之差",55808,0,"yi1 nian4 zhi1 cha1","glissement momentané; faux pas; action irréfléchie"
"一意",8483,0,"yi1 yi4","avec une dévotion complète; obstinément"
"一應",9199,0,"yi1 ying1","tous; chaque"
"一應俱全",57852,0,"yi1 ying1 ju4 quan2","avec tout le nécessaire disponible"
"一成不變",55632,0,"yi1 cheng2 bu4 bian4","(expr. idiom.) rien ne change beaucoup; toujours pareil; immobile; statique; immuable"
"一手",9200,0,"yi1 shou3","compétence; par soi-même; sans aide extérieure"
"一手包辦",56917,0,"yi1 shou3 bao1 ban4","s'occuper d'un problème tout seul; faire fonctionner tout le spectacle"
"一手遮天",57853,0,"yi1 shou3 zhe1 tian1","(lit.) cacher le ciel avec une main; cacher la vérité des masses"
"一打",9201,0,"yi1 da2",douzaine
"一技之長",56226,0,"yi1 ji4 zhi1 chang2","avoir des capacités dans un domaine; se distinguer dans un domaine; se distinguer dans une spécialité"
"一把",9202,0,"yi1 ba3","un (classificateur pour les couteaux, etc.)"
"一把好手",55809,0,"yi1 ba3 hao3 shou3",expert
"一把手",45135,0,"yi1 ba3 shou3","participant à une activité; personne capable"
"一把死拿",56227,0,"yi1 ba3 si3 na2","têtu; inflexible"
"一抓一大把",62771,0,"yi1 zhua1 yi1 da4 ba3","à la pelle; énormément de"
"一折兩段",58802,0,"yi1 zhe2 liang3 duan4","plier en deux; courber"
"一抿子",54244,0,"yi1 min3 zi5","un peu"
"一拍即合",57854,0,"yi1 pai1 ji2 he2","(expr. idiom.) être d'emblée à l'unisson; être en mesure du premier coup; bien s'entendre de manière immédiate; se plaire au premier coup d'oeil"
"一掃而空",56918,0,"yi1 sao3 er2 kong1","nettoyer; balayer proprement"
"一排",12186,0,"yi1 pai2","rangée"
"一擁而上",56228,0,"yi1 yong1 er2 shang4","se précipiter sur; affluer vers; se ruer; se presser"
"一擁而入",56919,0,"yi1 yong1 er2 ru4","ruée"
"一擲千金",59761,0,"yi1 zhi4 qian1 jin1","à prendre ou à laisser"
"一攬子",47595,0,"yi1 lan3 zi5","tout compris"
"一改故轍",58803,0,"yi1 gai3 gu4 zhe2","(expr. idiom.) abandonner résolument le vieux chemin; sortir de l'ornière; corriger le tir; changer son fusil d'épaule; prendre un nouveau départ; s'engager dans une nouvelle direction"
"一敗塗地",57855,0,"yi1 bai4 tu2 di4","subir une défaite écrasante"
"一文不名",55633,0,"yi1 wen2 bu4 ming2","être sans le sou"
"一斑",24387,0,"yi1 ban1","(lit.) une tache (d'un léopard); une seule petite chose dans un grand tableau"
"一方",9203,0,"yi1 fang1","un partie (dans un contrat ou un cas juridique); un côté; zone; région"
"一方面",45136,0,"yi1 fang1 mian4","d'une part...d'autre part; d'un côté"
"一旁",12187,0,"yi1 pang2","côté; du côté de"
"一族",12188,0,"yi1 zu2","groupe social; sous-culture; famille; clan"
"一日",9204,0,"yi1 ri4","un jour; un beau jour"
"一日三秋",57856,0,"yi1 ri4 san1 qiu1","(expr. idiom.) une seule journée semble durer trois saisons"
"一日三餐",56920,0,"yi1 ri4 san1 can1","avoir trois repas par jour"
"一日千里",57857,0,"yi1 ri4 qian1 li3","(expr. idiom.) avancer de mille li par jour; progresser rapidement"
"一旦",17937,0,"yi1 dan4","une fois que; aussitôt que; si jamais; en un jour"
"一早",12189,0,"yi1 zao3","de bonne heure; de bon matin"
"一星半點",56921,0,"yi1 xing1 ban4 dian3","un tout petit morceau; une très petite quantité"
"一時",8484,0,"yi1 shi2","pendant une période; temporairement; pour le moment; accidentellement; par hasard; tantôt... tantôt..."
"一時半刻",56922,0,"yi1 shi2 ban4 ke4","peu de temps"
"一時半晌",62023,0,"yi1 shi2 ban4 shang3","peu de temps"
"一時半霎",58804,0,"yi1 shi2 ban4 sha4","peu de temps"
"一時間",44634,0,"yi1 shi2 jian1","pour un moment; momentanément"
"一晃",24388,0,"yi1 huang3","en un instant; en un éclair"
"一會",8485,0,"yi1 hui4","un moment; un certain temps; en un moment"
"一會兒",44635,0,"yi1 hui4 r","un moment; un instant; dans un moment; bientôt; tantôt ... tantôt"
"一月",9205,0,"Yi1 yue4","janvier; le premier mois lunaire"
"一月份",45137,0,"yi1 yue4 fen4",janvier
"一服",9206,0,"yi1 fu2",dose
"一望無垠",57858,0,"yi1 wang4 wu2 yin2","(expr. idiom.) s'étendre aussi loin que porte le regard; s'étendre à perte de vue"
"一望無際",56229,0,"yi1 wang4 wu2 ji4","(expr. idiom.) à perte de vue; sans fin"
"一朝",17938,0,"yi1 zhao1","du jour au lendemain; dans un court laps de temps; en un jour"
"一本正經",55810,0,"yi1 ben3 zheng4 jing1","se composer un visage sévère; être collet monté; affecter de la gravité et du sérieux"
"一本萬利",55811,0,"yi1 ben3 wan4 li4","rémunérateur; lucratif"
"一板一眼",55812,0,"yi1 ban3 yi1 yan3","(expr. idiom.) suivre des instructions à la lettre; méthodique; (porter) une attention toute particulière aux détails"
"一板三眼",56230,0,"yi1 ban3 san1 yan3","(expr. idiom.) suivre des instructions à la lettre"
"一條生路",56231,0,"yi1 tiao2 shang1 lu4","issue de sortie (à une situation difficile)"
"一條龍",46149,0,"yi1 tiao2 long2","(lit.) un dragon; chaine intégrée; procédé coordonné"
"一概",12190,0,"yi1 gai4","totalement; sans exception"
"一概而論",56232,0,"yi1 gai4 er2 lun4","considérer les choses en bloc; placer qch sur le même plan; généraliser les cas"
"一樓",12191,0,"yi1 lou2","premier étage"
"一模一樣",56233,0,"yi1 mu2 yi1 yang4","(expr. idiom.) exactement le même; copie carbone; égal; idem"
"一樣",9207,0,"yi1 yang4","même; pareil; semblable; ressemblant"
"一次",9208,0,"yi1 ci4","une fois"
"一次又一次",62772,0,"yi1 ci4 you4 yi1 ci4","à plusieurs reprises; encore et encore"
"一次性",45138,0,"yi1 ci4 xing4","qui ne sert qu'une fois; temporaire"
"一次能源",56234,0,"yi1 ci4 neng2 yuan2","énergie primaire"
"一步",12192,0,"yi1 bu4","(un seul) pas"
"一步一個腳印",63536,0,"yi1 bu4 yi1 ge4 jiao3 yin4","(expr. idiom.) un pas, une empreinte; progresser pas à pas; progresser lentement mais sûrement"
"一步到位",56235,0,"yi1 bu4 dao4 wei4","pour régler une question en une seule fois"
"一步步",47596,0,"yi1 bu4 bu4","étape par étape"
"一步登天",56923,0,"yi1 bu4 deng1 tian1","parvenir à un niveau élevé (à une haute position sociale); monter en flèche dans sa carrière"
"一毛不拔",57859,0,"yi1 mao2 bu4 ba2","avare; parcimonieux"
"一氧化碳",61180,0,"yi1 yang3 hua4 tan4","monoxyde de carbone"
"一水兒",45139,0,"yi1 shui3 r","(famil.) du même type; identique"
"一派胡言",58805,0,"yi1 pai4 hu2 yan2","tas d'inepties"
"一流",9209,0,"yi1 liu2","de qualité supérieure"
"一清二楚",56924,0,"yi1 qing1 er4 chu3","clair comme le jour"
"一準",12193,0,"yi1 zhun3","sans aucun doute; assurément"
"一溜煙",52271,0,"yi1 liu4 yan1","vite; rapidement; en un rien de temps"
"一潭死水",58806,0,"yi1 tan2 si3 shui3","piscine d'eau stagnante; condition stagnante ou sans énergie"
"一無",8486,0,"yi1 wu2","entièrement; tout à fait"
"一無所有",55581,0,"yi1 wu2 suo3 you3","dépossédé; être dans un extrême dénuement; ne rien posséder au monde"
"一無所獲",56236,0,"yi1 wu2 suo3 huo4","ne rien gagner; finir les mains vides"
"一無所知",55582,0,"yi1 wu2 suo3 zhi1","(expr. idiom.) qui ne sait rien du tout; complètement ignorant"
"一無所聞",55813,0,"yi1 wu2 suo3 wen2","du jamais vu"
"一無所長",55634,0,"yi1 wu2 suo3 chang2","n'ayant aucune compétence particulière; sans aucune qualification"
"一無是處",55635,0,"yi1 wu2 shi4 chu4","pas un seul bon point; tout y est mauvais"
"一片",9210,0,"yi1 pian4",flaque
"一犯再犯",59762,0,"yi1 fan4 zai4 fan4","continuer (à faire la mauvaise chose)"
"一生",8487,0,"yi1 sheng1","toute la vie"
"一生一世",55636,0,"yi1 sheng1 yi1 shi4","(expr. idiom.) toute une vie; pour la vie; pour toujours; éternellement"
"一病不起",56237,0,"yi1 bing4 bu4 qi3","(expr. idiom.) tomber gravement malade et ne jamais récupérer"
"一瘸一拐",62379,0,"yi1 que2 yi1 guai3","boiter; clopiner"
"一百",12194,0,"yi1 bai3","cent; 100"
"一盤散沙",61181,0,"yi1 pan2 san3 sha1","(expr. idiom.) comme du sable mouvant; incapable de coopérer; désunion complète; désordre"
"一目瞭然",56925,0,"yi1 mu4 liao3 ran2","(expr. idiom.) s'en rendre compte d'un coup d'oeil; sauter aux yeux; en avoir une idée nette"
"一直",9211,0,"yi1 zhi2","toujours; en continue"
"一直以來",55637,0,"yi1 zhi2 yi3 lai2","depuis toujours; jusqu'à maintenant"
"一相情願",56926,0,"yi1 xiang1 qing2 yuan4","ses propres illusions"
"一眨眼",49225,0,"yi1 zha3 yan3","en un clin d'oeil"
"一眼",9212,0,"yi1 yan3","un coup d'oeil; un regard rapide; un aperçu"
"一睹",24389,0,"yi1 du3","regarder; avoir un coup d'oeil sur; observer (la splendeur de qch)"
"一瞥",24390,0,"yi1 pie1","jeter un coup d'oeil; échantillon"
"一瞬",24391,0,"yi1 shun4","en un clin d'oeil"
"一瞬間",49226,0,"yi1 shun4 jian1","fraction de seconde"
"一矢中的",56927,0,"yi1 shi3 zhong4 di4","(expr. idiom.) mettre dans le mille du premier coup"
"一知半解",56238,0,"yi1 zhi1 ban4 jie3","avoir des connaissances superficielles; avoir un vernis de savoir; avoir demisavoir; en être encore à moitié ignorant"
"一石二鳥",57860,0,"yi1 shi2 er4 niao3","(expr. idiom.) tuer deux oiseaux avec une pierre; faire d'une pierre deux coups"
"一碗",17939,0,"yi1 wan3","écuelle"
"一秉虔誠",61665,0,"yi1 bing3 qian2 cheng2","(expr. idiom.) consciencieusement; sérieusement et sincèrement"
"一種",9213,0,"yi1 zhong3","un type de"
"一窮二白",57861,0,"yi1 qiong2 er4 bai2","pauvre et vide"
"一竅不通",57862,0,"yi1 qiao4 bu4 tong1","être complètement bouché; être stupide; ne rien comprendre (ou savoir) de; ignorer totalement qch; être une nullité; qch lui est totalement étranger"
"一笑置之",56239,0,"yi1 xiao4 zhi4 zhi1","écarter une question avec un sourire; laisser de côté en souriant"
"一筆勾銷",61182,0,"yi1 bi3 gou1 xiao1","annuler d'un seul coup"
"一等",9214,0,"yi1 deng3","de première classe"
"一等兵",46150,0,"yi1 deng3 bing1",caporal
"一等獎",47597,0,"yi1 deng3 jiang3","premier prix"
"一箭双雕",61183,0,"yi1 jian4 shuang1 diao1","faire d'une pierre deux coups"
"一箭雙鵰",61184,0,"yi1 jian4 shuang1 diao1","(expr. idiom.) faire d'une pierre deux coups"
"一篇",12195,0,"yi4 pian1",recto
"一籌莫展",59763,0,"yi1 chou2 mo4 zhan3","être à court de moyens; ne savoir que faire; être à deux doigts de la crise"
"一糰和氣",61666,0,"yi1 tuan2 he2 qi4","(expr. idiom.) être plein de bonhomie avec n'importe qui (sans principe); rester en bons termes avec l'intéressé; être affable avec le premier venu"
"一系列",46151,0,"yi1 xi4 lie4","suite; chaîne"
"一紙空文",56240,0,"yi1 zhi3 kong1 wen2","(expr. idiom.) moins que rien"
"一級",9215,0,"yi1 ji2","première classe; catégorie A"
"一級方程式",62821,0,"yi1 ji2 fang1 cheng2 shi4","Formule 1"
"一統",9216,0,"yi1 tong3","unifier; unifié"
"一絲一毫",58807,0,"yi1 si1 yi1 hao2","littéralement : un fil, un poil; un tout petit peu; un brin; un iota; un poil"
"一絲不掛",58808,0,"yi1 si1 bu4 gua4","tout nu; nu comme un ver"
"一絲不苟",59764,0,"yi1 si1 bu4 gou3","(expr. idiom.) exécuter toutes choses avec une extrême minutie et une extrême exactitude; être très scrupuleux; méticuleux; minutieux; mettre beaucoup de ponctualité et de minutie à faire son travail; travailler"
"一經",9217,0,"yi1 jing1","dès que; à peine; aussitôt que; une fois"
"一維",12196,0,"yi1 wei2","1D; unidimensionnel; à une dimension"
"一網打盡",56928,0,"yi1 wang3 da3 jin4","littéralement : tout capturer dans un coup de filet; éliminer d'un seul coup; figuré : donner un grand coup de balai; tout rafler; faire main basse sur le tout"
"一線",9218,0,"yi1 xian4","un rayon de; une lueur de"
"一線希望",56241,0,"yi1 xian4 xi1 wang4","une lueur d'espoir"
"一群",12197,0,"yi1 qun2",escadron
"一群人",45140,0,"yi1 qun2 ren2","une foule; un groupe de personne"
"一而再，再而三",63811,0,"yi1 er2 zai4 , zai4 er2 san1","encore et encore"
"一聲",9219,0,"yi1 sheng1","premier ton (en mandarin) (ton haut et plat); un son; spécificatif : un coup (de canon)"
"一肚皮",49227,0,"yi1 du4 pi2","le ventre plein (de qch); plein de (qch)"
"一股",17940,0,"yi1 gu3","élément de convoi; élement de marche; rame de véhicules"
"一股子",46152,0,"yi1 gu3 zi5","une odeur de; une tache de; un filet de"
"一脈相承",59765,0,"yi1 mai4 xiang1 cheng2","(expr. idiom.) qui remonte à la même origine (en parlant de tendances, d'idées etc.)"
"一脈相通",58809,0,"yi1 mai4 xiang1 tong1","être de la même veine; être en lien étroit"
"一腔",24392,0,"yi1 qiang1","plein de (zèle, colère, etc.)"
"一臂之力",57863,0,"yi1 bi4 zhi1 li4","coup de main"
"一臉茫然",57864,0,"yi1 lian3 mang2 ran2","perplexe; déconcerté"
"一致",12198,0,"yi1 zhi4","unanimement; à l'unanimité; identique; unanime"
"一致性",46153,0,"yi1 zhi4 xing4","homogénéité; cohérence; coordination"
